name,year
Japan-Guam-Australia North (JGA-N),2020
Japan-Guam-Australia South (JGA-S),2020
JUPITER,2020
KetchCan1 Submarine Fiber Cable System,2020
Lake Albert 2,2020
Malta-Gozo Cable,2020
Manatua,2020
Okinawa Cellular Cable,2020
Oran-Valencia (ORVAL),2020
Prat,2020
Skagenfiber West,2020
South Atlantic Inter Link (SAIL),2020
Batam Sarawak Internet Cable System (BaSICS),2021
Converge Domestic Submarine Cable Network (CDSCN),2021
CrossChannel Fibre,2021
Djibouti Africa Regional Express 1 (DARE 1),2021
Dunant,2021
EllaLink,2021
Hainan to Hong Kong Express (H2HE),2021
Kingisepp-Kaliningrad System (Baltika),2021
Malbec,2021
Maldives Sri Lanka Cable (MSC),2021
Maroc Telecom West Africa,2021
Meltingpot Indianoceanic Submarine System (METISS),2021
Minoas East and West,2021
NO-UK,2021
Projeto Amazônia Conectada (PAC 02),2021
Sape-Labuan Bajo-Ende-Kupang Cable Systems,2021
Scylla,2021
South Pacific Cable System (SPCS)/Mistral,2021
AU-Aleutian,2022
Awashima-Murakami,2022
EAUFON 1,2022
Gondwana-2/Picot-2,2022
Grace Hopper,2022
Groix 4,2022
Havhingsten/CeltixConnect-2 (CC-2),2022
Havhingsten/North Sea Connect (NSC),2022
Havsil,2022
Hronn,2022
Kitadaito Island,2022
N0r5ke Viking,2022
Norte Conectado (Infovia 00),2022
Oman Australia Cable (OAC),2022
Pacific Light Cable Network (PLCN),2022
PEACE Cable,2022
Petropavlovsk-Kamchatsky - Anadyr,2022
Polar Express,2022
Scotland-Northern Ireland 3,2022
Scotland-Northern Ireland 4,2022
Southern Cross NEXT,2022
Submarine Cable in the Philippines (SCiP),2022
Thetis,2022
Yuza-Tobishima,2022
Zeus,2022
Amitie,2023
ARIMAO,2023
Biznet Nusantara Cable System-1 (BNCS-1),2023
Blue,2023
Darwin-Jakarta-Singapore Cable (DJSC),2023
Equiano,2023
Hokkaido-Akita Cable,2023
Ionian,2023
IRIS,2023
Jalapati,2023
Jeju-Udo,2023
Medloop,2023
Mercator,2023
Natitua Sud,2023
Norfest,2023
Norte Conectado (Infovia 01),2023
Patara-2,2023
Philippine Domestic Submarine Cable Network (PDSCN),2023
R100 North,2023
Red2Med,2023
Saudi Vision,2023
SEALink,2023
Senegal Horn of Africa Regional Express (SHARE) Cable,2023
T3,2023
Tautira-Teahupo'o,2023
TKO Connect,2023
Tokelau Submarine Cable,2023
Topaz,2023
Trans Adriatic Express (TAE),2023
Ultramar GE,2023
UMO,2023
Unitel North Submarine Cable (UNSC),2023
YUI,2023
2Africa,2024
Asia Direct Cable (ADC),2024
Aurora,2024
Connected Coast,2024
Deep Blue One,2024
Domestic Submarine Cable of Maldives (DSCoM),2024
EAUFON 2,2024
Iceni,2024
India Asia Xpress (IAX),2024
Isle Au Haut Cable,2024
Kangaroo Island 2,2024
Kochi-Lakshadweep Islands (KLI-SOFC),2024
MIST,2024
Norte Conectado (Infovia 03),2024
Piano Isole Minori,2024
SEALink South,2024
